year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,blh_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2019.00,11.00,22.00,19.00,43.26,20.39,6.94,19.57,2.24,0.84,2.09,55.85,,,
2019.00,11.00,22.00,20.00,39.28,24.60,10.34,19.29,1.99,1.12,1.00,122.21,,,
2019.00,11.00,22.00,21.00,35.30,28.81,10.44,19.00,1.74,1.39,-0.09,133.79,,,
2019.00,11.00,22.00,22.00,24.31,43.13,6.72,19.63,2.17,1.04,0.61,60.21,,,
2019.00,11.00,22.00,23.00,13.33,57.44,6.97,20.26,2.60,0.68,1.31,34.35,,,
2020.00,8.00,21.00,0.00,21.71,51.85,20.30,21.53,2.16,-1.54,4.17,244.69,,,
2020.00,8.00,21.00,1.00,32.56,49.06,21.36,21.27,0.78,-0.79,3.03,389.00,,,
2020.00,8.00,21.00,2.00,43.40,46.27,21.60,21.02,-0.60,-0.04,1.89,487.06,,,
2020.00,8.00,21.00,3.00,54.25,43.48,20.89,20.76,-1.98,0.71,0.75,415.99,,,
2020.00,8.00,21.00,4.00,55.20,45.73,22.10,20.46,-2.23,1.09,0.45,250.38,,,
2020.00,8.00,21.00,5.00,56.15,47.97,20.82,20.15,-2.47,1.47,0.15,233.24,,,
2020.00,8.00,21.00,6.00,57.10,50.22,21.67,19.85,-2.71,1.84,-0.15,220.08,,,
2020.00,8.00,21.00,7.00,65.01,38.88,21.56,20.12,-2.32,1.78,-0.13,314.43,,1.46,
2020.00,8.00,21.00,8.00,72.93,27.54,20.96,20.39,-1.92,1.72,-0.12,253.08,,,
2020.00,8.00,21.00,9.00,80.84,16.20,21.19,20.66,-1.52,1.66,-0.10,336.90,0.21,0.51,0.40
2020.00,8.00,21.00,10.00,72.25,17.97,19.80,20.49,-1.09,1.32,0.19,371.06,,,
2020.00,8.00,21.00,11.00,63.67,19.74,19.42,20.32,-0.66,0.99,0.48,213.87,,,
2020.00,8.00,21.00,12.00,55.09,21.51,17.97,20.15,-0.23,0.65,0.78,279.65,,,
2020.00,8.00,21.00,13.00,66.86,19.66,19.15,19.98,0.80,0.51,0.81,347.81,,,
2020.00,8.00,21.00,14.00,78.63,17.80,20.47,19.82,1.83,0.37,0.84,425.08,,,
2020.00,8.00,21.00,15.00,90.40,15.94,21.16,19.66,2.87,0.23,0.87,362.37,,,
2020.00,8.00,21.00,16.00,89.58,19.17,18.70,20.08,2.74,0.18,0.88,215.74,,,
2020.00,8.00,21.00,17.00,88.75,22.40,20.06,20.49,2.62,0.13,0.88,478.63,,,
2020.00,8.00,21.00,18.00,87.93,25.63,18.96,20.91,2.50,0.08,0.88,495.77,,,
2020.00,8.00,21.00,19.00,94.12,25.64,18.64,20.88,2.77,-0.19,0.62,373.49,,,
2020.00,8.00,21.00,20.00,100.32,25.66,18.55,20.84,3.05,-0.46,0.36,392.32,,,
2020.00,8.00,21.00,21.00,106.51,25.67,18.03,20.81,3.32,-0.73,0.09,381.78,,,
2020.00,8.00,21.00,22.00,110.12,23.74,17.94,20.74,3.16,-0.54,-0.14,261.32,,,
2020.00,8.00,21.00,23.00,113.73,21.81,16.90,20.67,2.99,-0.36,-0.38,168.97,,,
2021.00,2.00,20.00,0.00,124.66,18.46,22.63,22.07,2.22,-1.74,-4.14,813.18,,,
2021.00,2.00,20.00,1.00,124.18,16.08,23.15,21.79,1.74,-2.18,-4.45,910.80,,,
2021.00,2.00,20.00,2.00,123.70,13.71,21.53,21.50,1.27,-2.62,-4.75,447.41,,,
2021.00,2.00,20.00,3.00,123.22,11.33,23.14,21.22,0.79,-3.06,-5.05,751.02,,,
2021.00,2.00,20.00,4.00,125.75,11.82,23.45,20.81,0.12,-2.78,-5.23,1058.38,,,
2021.00,2.00,20.00,5.00,128.29,12.31,23.58,20.39,-0.54,-2.51,-5.41,788.21,,,
2021.00,2.00,20.00,6.00,130.82,12.80,22.27,19.98,-1.20,-2.24,-5.60,901.26,,,
2021.00,2.00,20.00,7.00,122.24,13.90,22.71,20.44,-3.43,-0.48,-5.39,907.11,,,
2021.00,2.00,20.00,8.00,113.66,15.00,22.85,20.89,-5.65,1.27,-5.19,852.88,0.96,1.31,0.73
2021.00,2.00,20.00,9.00,105.07,16.11,23.51,21.35,-7.87,3.02,-4.99,613.01,,,
2021.00,2.00,20.00,10.00,110.18,16.63,22.89,20.82,-6.15,3.14,-5.33,703.83,,,
2021.00,2.00,20.00,11.00,115.29,17.16,23.04,20.29,-4.44,3.27,-5.67,835.10,,,
2021.00,2.00,20.00,12.00,120.40,17.68,22.07,19.77,-2.72,3.39,-6.02,891.56,,,
2021.00,2.00,20.00,13.00,139.37,17.96,21.41,19.68,-1.61,2.23,-5.53,844.79,,,
2021.00,2.00,20.00,14.00,158.33,18.23,21.49,19.60,-0.49,1.07,-5.04,840.90,,,
2021.00,2.00,20.00,15.00,177.29,18.50,22.11,19.51,0.63,-0.09,-4.55,770.99,,,
2021.00,2.00,20.00,16.00,171.13,17.02,21.86,19.81,1.10,-0.73,-4.31,717.93,,,
2021.00,2.00,20.00,17.00,164.96,15.54,20.81,20.12,1.57,-1.37,-4.07,571.19,,,
2021.00,2.00,20.00,18.00,158.80,14.06,21.34,20.42,2.04,-2.00,-3.82,831.98,,,
2021.00,2.00,20.00,19.00,160.24,17.14,22.15,20.34,2.66,-2.26,-4.03,1028.22,,,
2021.00,2.00,20.00,20.00,161.68,20.22,20.48,20.26,3.28,-2.52,-4.23,995.58,,,
2021.00,2.00,20.00,21.00,163.13,23.31,20.52,20.18,3.90,-2.77,-4.44,628.12,,,
2021.00,2.00,20.00,22.00,150.91,19.21,19.36,20.14,3.97,-2.15,-4.75,615.35,,,
2021.00,2.00,20.00,23.00,138.70,15.12,20.06,20.11,4.04,-1.53,-5.07,536.51,,,
2024.00,4.00,11.00,0.00,31.43,41.76,9.67,19.17,-2.52,-1.17,-1.46,35.33,,,
2024.00,4.00,11.00,1.00,41.27,34.48,11.04,18.99,-2.51,-1.05,-1.92,49.32,,,
2024.00,4.00,11.00,2.00,51.11,27.20,13.38,18.81,-2.50,-0.92,-2.38,171.28,,,
2024.00,4.00,11.00,3.00,60.95,19.92,12.96,18.63,-2.50,-0.80,-2.84,70.29,,,
2024.00,4.00,11.00,4.00,51.37,24.04,17.53,18.67,-1.70,0.11,-2.73,12.86,,,
2024.00,4.00,11.00,5.00,41.78,28.16,14.74,18.72,-0.91,1.01,-2.63,40.73,,,
2024.00,4.00,11.00,6.00,32.19,32.28,14.55,18.77,-0.12,1.92,-2.53,50.35,,,
2024.00,4.00,11.00,7.00,21.91,52.20,16.16,18.68,-0.54,1.29,-2.36,113.94,,,
2024.00,4.00,11.00,8.00,11.62,72.11,15.79,18.59,-0.97,0.67,-2.18,175.83,,,
2024.00,4.00,11.00,9.00,1.33,92.03,13.39,18.51,-1.40,0.05,-2.01,59.76,0.81,2.07,0.39
2024.00,4.00,11.00,10.00,3.90,77.86,13.77,17.83,-0.38,-0.07,-1.37,50.10,,,
2024.00,4.00,11.00,11.00,6.48,63.69,14.32,17.16,0.63,-0.20,-0.73,43.51,,,
2024.00,4.00,11.00,12.00,9.05,49.52,14.64,16.48,1.65,-0.32,-0.09,47.40,,,
2024.00,4.00,11.00,13.00,6.04,56.10,13.74,16.57,1.44,-0.36,-0.21,36.03,,,
2024.00,4.00,11.00,14.00,3.02,62.68,14.74,16.67,1.24,-0.41,-0.33,18.51,,,
2024.00,4.00,11.00,15.00,0.00,69.26,16.94,16.76,1.04,-0.46,-0.45,75.08,,,
2024.00,4.00,11.00,16.00,0.00,78.19,18.05,16.50,0.85,-0.93,-0.67,44.21,,,
2024.00,4.00,11.00,17.00,0.00,87.13,18.68,16.24,0.65,-1.40,-0.88,46.07,,,
2024.00,4.00,11.00,18.00,0.00,96.06,17.80,15.98,0.45,-1.87,-1.10,70.28,,,
2024.00,4.00,11.00,19.00,0.02,97.45,19.31,16.12,0.73,-1.45,-0.64,81.37,,,
2024.00,4.00,11.00,20.00,0.04,98.84,22.15,16.25,1.00,-1.03,-0.18,11.59,,,
2024.00,4.00,11.00,21.00,0.06,100.23,22.36,16.39,1.28,-0.61,0.27,76.52,,,
2024.00,4.00,11.00,22.00,0.04,100.35,22.33,16.33,1.33,-0.67,0.04,25.18,,,
2024.00,4.00,11.00,23.00,0.03,100.47,23.86,16.26,1.39,-0.73,-0.18,60.30,,,
2021.00,9.00,19.00,0.00,118.39,10.14,28.69,8.37,2.40,-2.49,-1.89,755.33,,,
2021.00,9.00,19.00,1.00,120.14,20.04,22.17,8.04,2.79,-2.50,-1.41,503.43,,,
2021.00,9.00,19.00,2.00,121.89,29.94,23.03,7.72,3.18,-2.51,-0.93,477.35,,,
2021.00,9.00,19.00,3.00,123.65,39.84,27.27,7.40,3.57,-2.53,-0.46,758.17,,,
2021.00,9.00,19.00,4.00,125.32,38.03,27.35,7.13,3.75,-2.48,-0.59,797.22,,,
2021.00,9.00,19.00,5.00,126.99,36.21,28.57,6.87,3.94,-2.43,-0.72,1085.19,,,
2021.00,9.00,19.00,6.00,128.66,34.39,28.74,6.60,4.12,-2.38,-0.85,1161.66,,,
2021.00,9.00,19.00,7.00,142.29,35.62,29.27,6.94,3.87,-2.41,-0.45,1306.87,0.47,,
2021.00,9.00,19.00,8.00,155.91,36.84,29.03,7.28,3.63,-2.45,-0.04,1286.58,,,
2021.00,9.00,19.00,9.00,169.54,38.07,29.18,7.62,3.38,-2.49,0.36,1104.98,,,
2021.00,9.00,19.00,10.00,168.59,36.74,29.45,7.65,3.30,-2.42,-0.07,1295.71,,,
2021.00,9.00,19.00,11.00,167.64,35.42,30.01,7.68,3.22,-2.35,-0.49,1524.94,,,
2021.00,9.00,19.00,12.00,166.69,34.09,30.46,7.71,3.14,-2.29,-0.92,1604.85,,,
2021.00,9.00,19.00,13.00,163.39,27.58,29.92,7.85,2.88,-2.18,-1.05,968.59,,,
2021.00,9.00,19.00,14.00,160.09,21.07,30.22,8.00,2.62,-2.07,-1.18,1217.37,,,
2021.00,9.00,19.00,15.00,156.79,14.56,29.62,8.14,2.36,-1.96,-1.31,1512.79,,,
2021.00,9.00,19.00,16.00,159.31,15.10,27.97,8.44,2.42,-1.82,-1.21,1209.22,,,
2021.00,9.00,19.00,17.00,161.84,15.63,28.38,8.74,2.47,-1.69,-1.10,951.68,,,
2021.00,9.00,19.00,18.00,164.37,16.17,28.14,9.04,2.53,-1.55,-1.00,1349.14,,,
2021.00,9.00,19.00,19.00,162.99,15.24,29.16,8.72,3.18,-2.07,-1.29,1097.93,,,
2021.00,9.00,19.00,20.00,161.62,14.32,29.93,8.40,3.83,-2.59,-1.58,1106.41,,,
2021.00,9.00,19.00,21.00,160.24,13.39,29.85,8.08,4.47,-3.11,-1.87,1279.15,,,
2021.00,9.00,19.00,22.00,162.12,17.36,28.33,8.09,4.28,-2.59,-2.21,1395.40,,,
2021.00,9.00,19.00,23.00,163.99,21.33,28.36,8.10,4.09,-2.06,-2.55,1340.26,,,
2022.00,9.00,30.00,0.00,0.18,153.08,32.05,14.92,2.53,1.35,1.48,119.38,,,
2022.00,9.00,30.00,1.00,0.16,150.49,27.12,15.07,2.22,1.07,1.68,67.46,,,
2022.00,9.00,30.00,2.00,0.14,147.90,27.12,15.22,1.91,0.80,1.87,98.71,,,
2022.00,9.00,30.00,3.00,0.12,145.32,28.96,15.37,1.60,0.53,2.07,69.59,,,
2022.00,9.00,30.00,4.00,0.12,144.03,30.99,15.77,1.07,0.80,2.40,26.69,,,
2022.00,9.00,30.00,5.00,0.13,142.74,30.44,16.16,0.54,1.07,2.74,205.66,,,
2022.00,9.00,30.00,6.00,0.14,141.46,29.54,16.56,0.01,1.34,3.07,54.27,,,
2022.00,9.00,30.00,7.00,31.94,137.68,31.23,17.36,-1.54,1.32,2.71,126.93,,,
2022.00,9.00,30.00,8.00,63.74,133.89,32.92,18.17,-3.09,1.30,2.35,241.36,0.93,1.70,0.55
2022.00,9.00,30.00,9.00,95.54,130.11,31.54,18.97,-4.65,1.28,1.99,486.80,,,
2022.00,9.00,30.00,10.00,82.44,132.06,34.82,19.08,-4.17,1.17,1.52,199.84,,,
2022.00,9.00,30.00,11.00,69.33,134.00,32.20,19.19,-3.69,1.06,1.04,208.04,,,
2022.00,9.00,30.00,12.00,56.22,135.94,27.00,19.30,-3.21,0.95,0.56,251.28,,,
2022.00,9.00,30.00,13.00,63.89,119.92,27.24,19.33,-2.87,0.59,1.10,141.44,,,
2022.00,9.00,30.00,14.00,71.56,103.89,28.50,19.37,-2.53,0.22,1.64,155.72,,,
2022.00,9.00,30.00,15.00,79.22,87.86,28.50,19.41,-2.20,-0.14,2.18,35.51,,,
2022.00,9.00,30.00,16.00,78.97,103.32,30.26,19.26,-2.36,0.23,1.92,51.09,,,
2022.00,9.00,30.00,17.00,78.72,118.79,31.38,19.10,-2.52,0.60,1.67,87.65,,,
2022.00,9.00,30.00,18.00,78.47,134.25,29.76,18.95,-2.68,0.98,1.41,397.30,,,
2022.00,9.00,30.00,19.00,53.57,155.07,30.55,18.37,-2.59,0.93,1.44,110.61,,,
2022.00,9.00,30.00,20.00,28.67,175.90,30.73,17.79,-2.50,0.88,1.47,59.90,,,
2022.00,9.00,30.00,21.00,3.77,196.72,29.21,17.21,-2.41,0.84,1.50,589.49,,,
2022.00,9.00,30.00,22.00,2.55,189.83,30.05,17.44,-2.74,1.21,1.22,48.92,,,
2022.00,9.00,30.00,23.00,1.33,182.95,30.39,17.68,-3.08,1.58,0.95,57.37,,,
2020.00,6.00,13.00,0.00,14.09,56.90,32.74,4.97,3.70,-0.44,3.26,594.76,,,
2020.00,6.00,13.00,1.00,10.40,106.95,32.02,5.22,2.80,0.15,3.34,682.95,,,
2020.00,6.00,13.00,2.00,6.71,157.01,33.96,5.48,1.89,0.73,3.43,570.37,,,
2020.00,6.00,13.00,3.00,3.01,207.06,33.40,5.74,0.99,1.32,3.51,423.83,,,
2020.00,6.00,13.00,4.00,3.24,193.45,37.63,5.89,0.50,1.13,2.99,737.78,,,
2020.00,6.00,13.00,5.00,3.48,179.83,37.51,6.03,0.01,0.94,2.47,423.49,,,
2020.00,6.00,13.00,6.00,3.71,166.21,36.04,6.18,-0.48,0.75,1.95,614.80,,,
2020.00,6.00,13.00,7.00,4.39,157.48,33.65,6.24,-0.36,0.24,2.09,487.75,0.52,2.72,0.19
2020.00,6.00,13.00,8.00,5.08,148.75,35.63,6.29,-0.23,-0.28,2.24,504.20,,,
2020.00,6.00,13.00,9.00,5.76,140.02,35.45,6.35,-0.11,-0.79,2.38,326.06,0.58,2.58,0.23
2020.00,6.00,13.00,10.00,6.96,127.52,37.42,6.47,0.50,-0.74,2.87,305.69,,,
2020.00,6.00,13.00,11.00,8.16,115.02,37.15,6.58,1.11,-0.69,3.36,1029.66,,,
2020.00,6.00,13.00,12.00,9.36,102.52,32.57,6.70,1.72,-0.63,3.85,578.66,,,
2020.00,6.00,13.00,13.00,7.77,120.02,27.74,6.83,1.63,-0.22,3.54,671.27,,,
2020.00,6.00,13.00,14.00,6.17,137.51,28.69,6.95,1.53,0.20,3.23,903.02,,,
2020.00,6.00,13.00,15.00,4.58,155.00,29.80,7.08,1.44,0.61,2.92,895.78,,,
2020.00,6.00,13.00,16.00,3.14,146.36,31.26,7.33,1.24,0.43,3.30,991.02,,,
2020.00,6.00,13.00,17.00,1.70,137.72,32.64,7.59,1.04,0.24,3.68,579.27,,,
2020.00,6.00,13.00,18.00,0.25,129.07,34.93,7.85,0.84,0.06,4.07,1075.81,,,
2020.00,6.00,13.00,19.00,1.84,120.50,35.86,7.94,1.28,-0.23,3.86,967.72,,,
2020.00,6.00,13.00,20.00,3.43,111.94,34.25,8.04,1.71,-0.52,3.65,1028.21,,,
2020.00,6.00,13.00,21.00,5.02,103.37,33.71,8.14,2.14,-0.81,3.44,380.35,,,
2020.00,6.00,13.00,22.00,4.17,88.28,35.10,7.82,2.93,-0.80,3.66,484.74,,,
2020.00,6.00,13.00,23.00,3.32,73.19,35.90,7.50,3.72,-0.80,3.89,487.79,,,
2020.00,10.00,5.00,0.00,62.57,13.43,27.93,17.42,2.42,-1.64,1.46,1025.01,,,
2020.00,10.00,5.00,1.00,71.29,14.40,27.97,17.33,2.64,-2.15,0.12,1357.51,,,
2020.00,10.00,5.00,2.00,80.01,15.37,28.01,17.23,2.86,-2.65,-1.21,873.88,,,
2020.00,10.00,5.00,3.00,88.73,16.34,26.31,17.14,3.07,-3.16,-2.55,631.81,,,
2020.00,10.00,5.00,4.00,86.17,18.69,26.06,17.75,1.64,-1.74,-1.05,525.49,,,
2020.00,10.00,5.00,5.00,83.60,21.04,26.40,18.37,0.20,-0.32,0.44,578.31,,,
2020.00,10.00,5.00,6.00,81.04,23.39,26.02,18.98,-1.23,1.10,1.93,569.62,,,
2020.00,10.00,5.00,7.00,102.52,23.83,25.04,18.84,-1.90,0.32,1.69,635.89,,,
2020.00,10.00,5.00,8.00,124.01,24.27,25.52,18.69,-2.58,-0.47,1.45,607.44,0.96,2.24,0.43
2020.00,10.00,5.00,9.00,145.49,24.71,25.75,18.54,-3.25,-1.26,1.21,395.95,,,
2020.00,10.00,5.00,10.00,137.78,20.45,24.84,19.05,-4.07,-0.87,0.30,306.67,,,
2020.00,10.00,5.00,11.00,130.08,16.20,26.02,19.55,-4.89,-0.47,-0.62,618.27,,,
2020.00,10.00,5.00,12.00,122.37,11.94,26.96,20.06,-5.71,-0.08,-1.54,720.98,,,
2020.00,10.00,5.00,13.00,117.78,13.32,26.39,20.00,-4.96,1.20,-1.52,762.40,,,
2020.00,10.00,5.00,14.00,113.20,14.70,24.26,19.94,-4.22,2.48,-1.51,1025.97,,,
2020.00,10.00,5.00,15.00,108.61,16.08,24.64,19.88,-3.47,3.76,-1.50,1007.70,,,
2020.00,10.00,5.00,16.00,116.17,16.44,24.59,20.22,-1.36,3.00,-1.12,993.33,,,
2020.00,10.00,5.00,17.00,123.74,16.80,24.68,20.56,0.75,2.23,-0.74,608.37,,,
2020.00,10.00,5.00,18.00,131.31,17.16,25.68,20.89,2.87,1.47,-0.36,575.52,,,
2020.00,10.00,5.00,19.00,108.69,21.28,25.25,21.10,2.61,0.45,1.33,536.27,,,
2020.00,10.00,5.00,20.00,86.07,25.41,25.32,21.32,2.36,-0.56,3.03,554.68,,,
2020.00,10.00,5.00,21.00,63.45,29.53,25.12,21.53,2.10,-1.58,4.73,590.10,,,
2020.00,10.00,5.00,22.00,68.17,24.63,25.76,21.26,2.15,-1.85,2.81,478.30,,,
2020.00,10.00,5.00,23.00,72.89,19.73,24.03,21.00,2.20,-2.12,0.89,391.17,,,
2022.00,10.00,1.00,0.00,0.11,176.06,30.36,17.91,-3.41,1.95,0.68,114.60,,,
2022.00,10.00,1.00,1.00,25.39,145.63,30.09,17.62,-3.30,1.43,1.10,168.48,,,
2022.00,10.00,1.00,2.00,50.67,115.20,30.28,17.33,-3.20,0.91,1.53,321.95,,,
2022.00,10.00,1.00,3.00,75.94,84.77,31.65,17.03,-3.09,0.40,1.95,599.28,,,
2022.00,10.00,1.00,4.00,74.86,93.56,28.17,16.64,-3.06,0.50,2.03,309.89,,,
2022.00,10.00,1.00,5.00,73.77,102.35,27.24,16.24,-3.04,0.60,2.11,78.22,,,
2022.00,10.00,1.00,6.00,72.69,111.14,31.39,15.85,-3.01,0.70,2.19,26.87,,,
2022.00,10.00,1.00,7.00,62.84,120.85,28.95,16.66,-3.15,0.57,2.29,104.07,,,
2022.00,10.00,1.00,8.00,53.00,130.56,27.07,17.46,-3.28,0.43,2.39,159.63,0.73,1.77,0.41
2022.00,10.00,1.00,9.00,43.16,140.27,27.10,18.27,-3.41,0.29,2.49,171.02,,,
2022.00,10.00,1.00,10.00,29.21,126.73,26.21,17.76,-2.59,0.56,2.88,254.49,,,
2022.00,10.00,1.00,11.00,15.26,113.18,27.55,17.25,-1.77,0.82,3.26,246.53,,,
2022.00,10.00,1.00,12.00,1.31,99.64,28.97,16.75,-0.95,1.08,3.65,463.82,,,
2022.00,10.00,1.00,13.00,6.43,114.60,26.76,16.81,-0.55,1.45,3.28,429.91,,,
2022.00,10.00,1.00,14.00,11.54,129.57,27.34,16.88,-0.14,1.83,2.90,472.66,,,
2022.00,10.00,1.00,15.00,16.66,144.53,27.11,16.94,0.27,2.20,2.53,211.78,,,
2022.00,10.00,1.00,16.00,40.62,134.69,27.25,17.58,0.41,2.04,2.92,311.62,,,
